item_id,item_name,recommend,sentiment_analysis,posted_year
282010,Carmageddon Max Pack,True,1,-1
70,Half-Life,True,0,2015
70,Half-Life,True,0,2011
70,Half-Life,True,0,2014
70,Half-Life,True,2,2013
70,Half-Life,True,0,2013
70,Half-Life,True,0,2014
70,Half-Life,True,0,2013
70,Half-Life,True,1,2015
70,Half-Life,True,2,2014
70,Half-Life,True,2,2015
70,Half-Life,True,1,-1
70,Half-Life,True,2,2014
70,Half-Life,True,2,2014
70,Half-Life,True,1,-1
70,Half-Life,True,0,-1
70,Half-Life,True,1,2015
70,Half-Life,True,2,2014
70,Half-Life,True,2,2015
70,Half-Life,True,2,2014
70,Half-Life,True,0,2015
70,Half-Life,True,2,2014
70,Half-Life,True,0,2014
70,Half-Life,True,2,2013
70,Half-Life,True,2,2015
70,Half-Life,True,0,2014
70,Half-Life,True,2,2012
70,Half-Life,True,1,2014
70,Half-Life,True,0,2014
70,Half-Life,True,2,2014
70,Half-Life,True,2,2015
70,Half-Life,True,2,-1
70,Half-Life,True,2,2012
70,Half-Life,True,1,2014
70,Half-Life,True,2,2011
70,Half-Life,False,2,-1
70,Half-Life,True,2,2014
70,Half-Life,True,2,2014
70,Half-Life,True,2,2015
70,Half-Life,True,0,2014
70,Half-Life,True,2,2014
70,Half-Life,True,0,2015
70,Half-Life,True,2,2013
70,Half-Life,True,2,2014
70,Half-Life,True,1,2015
70,Half-Life,True,0,2015
70,Half-Life,True,2,2015
70,Half-Life,True,2,2014
70,Half-Life,True,2,2015
70,Half-Life,True,2,2014
70,Half-Life,True,1,2012
70,Half-Life,True,2,2013
70,Half-Life,True,1,2014
70,Half-Life,True,2,2013
70,Half-Life,True,0,2013
70,Half-Life,True,2,2015
70,Half-Life,True,2,2014
70,Half-Life,True,2,2014
70,Half-Life,True,2,2014
70,Half-Life,True,1,2015
70,Half-Life,True,0,2015
70,Half-Life,True,2,2015
70,Half-Life,True,2,-1
2400,The Ship: Murder Party,True,2,2014
2400,The Ship: Murder Party,True,0,2015
2400,The Ship: Murder Party,True,2,2015
2400,The Ship: Murder Party,True,2,2013
2400,The Ship: Murder Party,True,2,2014
2400,The Ship: Murder Party,True,1,2014
2400,The Ship: Murder Party,True,2,-1
2400,The Ship: Murder Party,True,2,2014
2400,The Ship: Murder Party,True,1,2014
2400,The Ship: Murder Party,True,1,2015
2400,The Ship: Murder Party,False,0,2014
2400,The Ship: Murder Party,True,0,-1
2400,The Ship: Murder Party,True,2,-1
2400,The Ship: Murder Party,True,0,2013
2400,The Ship: Murder Party,True,2,2015
2400,The Ship: Murder Party,True,2,2014
2400,The Ship: Murder Party,True,0,2014
2400,The Ship: Murder Party,True,2,2014
2400,The Ship: Murder Party,True,2,2014
2400,The Ship: Murder Party,True,2,2014
2400,The Ship: Murder Party,True,1,2014
2400,The Ship: Murder Party,True,0,2015
2400,The Ship: Murder Party,True,1,2014
3800,Advent Rising,True,0,2014
1520,DEFCON,True,2,2013
1520,DEFCON,True,0,2012
1520,DEFCON,True,0,2014
1520,DEFCON,True,2,2015
1520,DEFCON,False,0,2014
1520,DEFCON,True,1,2014
1520,DEFCON,False,1,2015
1520,DEFCON,True,2,2014
2420,The Ship: Single Player,True,2,2014
2420,The Ship: Single Player,True,2,2014
4000,Garry's Mod,True,1,2013
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,2,-1
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,1,-1
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,0,2014
4000,Garry's Mod,True,0,2015
4000,Garry's Mod,True,2,-1
4000,Garry's Mod,True,2,2013
4000,Garry's Mod,True,1,2015
4000,Garry's Mod,True,2,2015
4000,Garry's Mod,True,2,2013
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,2,-1
4000,Garry's Mod,True,1,-1
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,2,-1
4000,Garry's Mod,True,0,2014
4000,Garry's Mod,True,2,2015
4000,Garry's Mod,True,2,-1
4000,Garry's Mod,True,2,2015
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,2,-1
4000,Garry's Mod,True,1,2015
4000,Garry's Mod,True,2,2015
4000,Garry's Mod,True,2,2015
4000,Garry's Mod,True,1,2014
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,2,2015
4000,Garry's Mod,True,1,2014
4000,Garry's Mod,True,1,2014
4000,Garry's Mod,True,2,2015
4000,Garry's Mod,True,1,2014
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,2,2014
4000,Garry's Mod,True,1,2015
4000,Garry's Mod,True,0,2015
4000,Garry's Mod,True,2,2013
4000,Garry's Mod,True,1,2013
4000,Garry's Mod,False,0,2015
4000,Garry's Mod,True,0,-1
